feature,training_available_fraction,training_unique_values,selected,reason,fold
proton_density_rolling_variance_15m,0.9978066612510155,12283,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_mean_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_median_60m,0.991876523151909,6113,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_variance_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_mean_5m,0.9968318440292445,12262,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_median_5m,0.9968318440292445,7591,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_variance_5m,0.9968318440292445,12258,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_mean_15m,0.9978066612510155,12275,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_median_15m,0.9978066612510155,6416,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_variance_15m,0.9978066612510155,12275,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_mean_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_median_60m,0.991876523151909,6489,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed_rolling_variance_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_mean_5m,0.9968318440292445,12271,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_median_5m,0.9968318440292445,7683,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_variance_5m,0.9968318440292445,12271,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_mean_15m,0.9978066612510155,12283,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
