model,fold,feature,importance,normalized_importance,signed_coefficient
Logistic Regression,AUG2024_DEMO_INTERVAL,dynamic_pressure_compression_ratio,0.4471541384828123,0.007138455853496348,-0.4471541384828123
Logistic Regression,AUG2024_DEMO_INTERVAL,joint_compression_index,0.7355676855190283,0.011742745953670513,-0.7355676855190283
Logistic Regression,AUG2024_DEMO_INTERVAL,js_opdi,1.6254407733929792,0.025948853437224185,1.6254407733929792
Logistic Regression,AUG2024_DEMO_INTERVAL,hellinger_opdi,1.0129884731321155,0.016171545499029816,1.0129884731321155
Logistic Regression,AUG2024_DEMO_INTERVAL,wasserstein_opdi,0.9306978785308632,0.01485784240167699,-0.9306978785308632
Logistic Regression,AUG2024_DEMO_INTERVAL,d_js_opdi_dt,0.012519900110559984,0.00019987012651310126,0.012519900110559984
Logistic Regression,AUG2024_DEMO_INTERVAL,d_hellinger_opdi_dt,0.3478646533625083,0.005553379153429272,-0.3478646533625083
Logistic Regression,AUG2024_DEMO_INTERVAL,d_wasserstein_opdi_dt,0.32769495832263823,0.005231386209096652,0.32769495832263823
Logistic Regression,AUG2024_DEMO_INTERVAL,d_opdi_dt,0.012519900110559984,0.00019987012651310126,0.012519900110559984
Logistic Regression,AUG2024_DEMO_INTERVAL,opdi_rolling_mean,0.024656985358944658,0.0003936289219246437,-0.024656985358944658
Logistic Regression,AUG2024_DEMO_INTERVAL,opdi_rolling_median,0.5898127280832425,0.009415885393654497,0.5898127280832425
Logistic Regression,AUG2024_DEMO_INTERVAL,opdi_rolling_variance,0.6631955539612099,0.01058738313425925,0.6631955539612099
Logistic Regression,AUG2024_DEMO_INTERVAL,opdi_anomaly,0.4521571012115094,0.0072183241259821335,-0.4521571012115094
Logistic Regression,AUG2024_DEMO_INTERVAL,opdi_persistence,0.081733631152292,0.0013048116242560886,-0.081733631152292
Logistic Regression,AUG2024_DEMO_INTERVAL,th1_th2_cosine_similarity,0.5195259491960603,0.008293813550882332,0.5195259491960603
Logistic Regression,AUG2024_DEMO_INTERVAL,th1_th2_spectral_angle_rad,0.15160611385359474,0.0024202695619368083,-0.15160611385359474
Logistic Regression,AUG2024_DEMO_INTERVAL,crossplane_centroid_delta_ev,0.6687888626757843,0.01067667580517009,0.6687888626757843
Logistic Regression,AUG2024_DEMO_INTERVAL,crossplane_width_delta_ev,0.508393209401989,0.008116088322132167,0.508393209401989
Logistic Regression,AUG2024_DEMO_INTERVAL,crossplane_log_peak_energy_ratio,0.12698114727913257,0.0020271517941307118,0.12698114727913257
Random Forest,AUG2024_DEMO_INTERVAL,proton_density,0.00394805276994124,0.003948052769941239,
Random Forest,AUG2024_DEMO_INTERVAL,proton_bulk_speed,0.04203243070966859,0.04203243070966858,
Random Forest,AUG2024_DEMO_INTERVAL,proton_thermal,0.004663046576861983,0.004663046576861982,
Random Forest,AUG2024_DEMO_INTERVAL,alpha_proton_ratio,0.0007784619594564269,0.0007784619594564267,
Random Forest,AUG2024_DEMO_INTERVAL,bmag_gse,0.027667314887877124,0.027667314887877117,
Random Forest,AUG2024_DEMO_INTERVAL,Bx_gse,0.015996974449103123,0.01599697444910312,
Random Forest,AUG2024_DEMO_INTERVAL,By_gse,0.07089164018275922,0.0708916401827592,
Random Forest,AUG2024_DEMO_INTERVAL,Bz_gse,0.010381167556876859,0.010381167556876857,
Random Forest,AUG2024_DEMO_INTERVAL,d_proton_bulk_speed_dt,4.051197201952003e-05,4.051197201952002e-05,
Random Forest,AUG2024_DEMO_INTERVAL,d_proton_density_dt,3.461546585570621e-05,3.4615465855706204e-05,
Random Forest,AUG2024_DEMO_INTERVAL,d_bmag_gse_dt,3.977252793896089e-05,3.9772527938960884e-05,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_mean_5m,0.007064948138445065,0.007064948138445063,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_median_5m,0.008691980044916716,0.008691980044916715,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_variance_5m,3.636686692913343e-05,3.6366866929133424e-05,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_mean_15m,0.008541802204565494,0.008541802204565492,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_median_15m,0.007139383361248412,0.0071393833612484105,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_variance_15m,0.0024624777399234465,0.002462477739923446,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_mean_60m,0.017052158395572323,0.01705215839557232,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_median_60m,0.01175752761288169,0.011757527612881687,
Random Forest,AUG2024_DEMO_INTERVAL,proton_density_rolling_variance_60m,0.011277994161759659,0.011277994161759657,
Random Forest,AUG2024_DEMO_INTERVAL,proton_bulk_speed_rolling_mean_5m,0.05293813132120643,0.052938131321206415,
Random Forest,AUG2024_DEMO_INTERVAL,proton_bulk_speed_rolling_median_5m,0.04170830143329686,0.04170830143329685,
Random Forest,AUG2024_DEMO_INTERVAL,proton_bulk_speed_rolling_variance_5m,0.00036737315346168514,0.00036737315346168503,
Random Forest,AUG2024_DEMO_INTERVAL,proton_bulk_speed_rolling_mean_15m,0.05546671500360638,0.055466715003606365,
